Name,Rating,Review Title,Review Date,Review Content
Andrew030686,5.0 out of 5 stars,Worth the upgrade,Reviewed in the United Kingdom on 17 April 2021,Took months to finally get one but finally got it everything about it is better than the PS4 the only thing is the new menus take a little to get used to but apart from that it's great
dam1,3.0 out of 5 stars,It’s okay,Reviewed in the United Kingdom on 15 March 2021,Finally got the PS5 and there’s not much too it
Ashraf K.,5.0 out of 5 stars,Great Purchase,Reviewed in the United Kingdom on 21 December 2020,"Was one of the lucky ones to get it on release day. Arrived next day.As someone who games a lot, this is a great console.The size will be a problem for some. Wasn't for me but can see it being for a lot people.The new controller and haptics are fantastic.If you can actually get a PS5 you will not regret the purchase."
Alexander,5.0 out of 5 stars,"Lucky to get one on 19th, box was damaged though :(",Reviewed in the United Kingdom on 21 November 2020,"Console is great, although I don’t have a 4K tv with great refresh rate to appreciate the whole beauty of Miles Morales spider-man.Also box was damaged a bit as you can see on a picture, I assume that happened during insanely fast packaging on release day."
Timeless,5.0 out of 5 stars,Nice,Reviewed in the United Kingdom on 21 November 2020,"Don't usually get launch day products but so far have had amazing experiences, it's a pretty snappy machine"
Jonathan Kershaw,5.0 out of 5 stars,Fantastic build quality,Reviewed in the United Kingdom on 15 March 2021,"Amazingly quiet, it’s fantastic hooked up to my 4K TV, the new controller is familiar but improved, can’t wait to see what games come out, going by the way developers get better with the new systems 🤞🏼"
Nicole Gill,5.0 out of 5 stars,Amazing,Reviewed in the United Kingdom on 1 April 2021,Product was amazing delivery was precise happy with my order
Amazon Customer,5.0 out of 5 stars,Highly recommend,Reviewed in the United Kingdom on 11 December 2020,"Brilliant console loving the new design of it delivery was on time for release date, highly recommend"
Rich Hewes,5.0 out of 5 stars,A must buy,Reviewed in the United Kingdom on 29 December 2020,Slightly bigger than I expected. Check the specs to see it fits your unit space.Besides that it's immense... Love it.
Amazon Customer,5.0 out of 5 stars,Amazing,Reviewed in the United Kingdom on 30 December 2020,"Very happy 8 year old, very happy Dad when he goes to bed"
Aaron Gaming,5.0 out of 5 stars,Really Good Console,Reviewed in the United Kingdom on 19 April 2021,People Say PS5 You Can Never Get Your Hands On One. But I Was Lucky Enough To Get One Back In January And The Graphics And The Performance On It Is Amazing. Also Astro’s Playroom Is The Best Game To Get Started With. I Really Recommend This Product To Anyone Who Has £450 Or Has The Patience To Wait And Be Quick To Buy One.
MatH,5.0 out of 5 stars,Much improved version,Reviewed in the United Kingdom on 23 April 2021,Bought as present but recipient seems extremely pleased! Much better than previous version.
Simon Robson,5.0 out of 5 stars,Must buy,Reviewed in the United Kingdom on 12 April 2021,Great console I absolutely love it. The dualsense pads are so comfy to hold and the vibrations are amazing.
ReltsUK,5.0 out of 5 stars,PS5,Reviewed in the United Kingdom on 19 February 2021,"Managed to get one somehow pure luck just going on the page at the right time.The control is the stand out jump, obviously games lacking abit but they'll come with time. Loading speeds massive difference and games like Hitman can show the graphic leap."
Dean R,5.0 out of 5 stars,Amazing console a huge step forward,Reviewed in the United Kingdom on 28 February 2021,"Brilliant experience so far, one game crashed on me though but that’s the only negative so far. Looking forward to new games to get a proper feel for the new generation of gaming"
W. Steele,5.0 out of 5 stars,Great machine,Reviewed in the United Kingdom on 18 April 2021,Great machine which was delivered quickly once I eventually got to order one!  Great graphics and amaxing sound.
Neil herbert,5.0 out of 5 stars,Great system with super fast loading times. Buy now if possible,Reviewed in the United Kingdom on 15 January 2021,What a next gen system. If you are lucky enough to buy one of these you are in for a treat!! Best next gen system at the moment out there and will have best exclusive games in the coming years!!
Jxpans,5.0 out of 5 stars,Best console ever made!,Reviewed in the United Kingdom on 11 January 2021,"My ps5 arrived in perfect condition, no issues whatsoever. Overall I’m quite pleased with it!"
Mustafa,5.0 out of 5 stars,Great console but it shouldn’t be so hard to buy one,Reviewed in the United Kingdom on 20 November 2020,Had to refresh for hours like mad and pounce very quickly just to buy one of these beautiful consoles.
Seanie,5.0 out of 5 stars,"Amazing visuals, audio and feedback",Reviewed in the United Kingdom on 27 November 2020,"Crisp new clean looking interface, 3D audio like you have never heard before, an amazing controller with feedback to be experienced, this console is a true generational leap!"
D. Carey,5.0 out of 5 stars,Absolutely amazing,Reviewed in the United Kingdom on 27 January 2021,"The controller is so good. Glad I stuck with playstation, the user experience is great and 3D audio is great. PS5 is for you if you are into immersive games :)"
The Chief,5.0 out of 5 stars,Rocking horse poo,Reviewed in the United Kingdom on 23 November 2020,"Wow it's off the wall good, glad I got one because I've been told non till after Christmas 🎄"
MR N WALTON,5.0 out of 5 stars,PS5 is Awesome,Reviewed in the United Kingdom on 25 February 2021,Kids love it. I love it. Fast loading speeds. Plugged in a 2TB SSD to store PS4 games. Playing on a 55” OLED TV for the full picture quality. Feedback from DualSense controllers is very good you can feel the action through the controller and the triggers.
Gbro,5.0 out of 5 stars,Best console to date.,Reviewed in the United Kingdom on 1 January 2021,Great console well worth the upgrade and with future updates will only get better.
Michal,5.0 out of 5 stars,Playstation 5 🔥🔥🔥,Reviewed in the United Kingdom on 19 November 2020,Grow up with Playstation.No need to say anything else. Playstation forever.
Ben Tank English,1.0 out of 5 stars,My 2020 all summed up,Reviewed in the United Kingdom on 19 November 2020,23 people found this helpful
Amazon Customer,5.0 out of 5 stars,Worth every penny.,Reviewed in the United Kingdom on 23 November 2020,"Great console! Was lucky enough to get an order in on release day, relieved to know it was to be delivered by DPD and was on my doorstep within 24 hours. Huge upgrade from the PS4 pro, quicker, smoother, stylish & doesn't sound like a hairdryer (as the PS4 did). The only downside to the console is it's size, but I soon got used to it!"
PrelovedPrincess,5.0 out of 5 stars,Brilliant piece of kit,Reviewed in the United Kingdom on 7 January 2021,"Lived up to what was expected. Easy to set up, super fast and brilliant graphics"
AM7,5.0 out of 5 stars,Next gen console which tops the rest,Reviewed in the United Kingdom on 3 April 2021,I mean what can I say. Next Gen gaming. Fifa looks great and the added texture packs for cod. Win win. The pad for me is the east feature
R. Davis,5.0 out of 5 stars,Amazing system,Reviewed in the United Kingdom on 19 November 2020,It's amazing. Games load fast with a nice user interface. Amazing graphics and great controller. The design is different and strange maybe. Would look better with black or grey panels. 9/10
WhaleBait,5.0 out of 5 stars,I got one!!,Reviewed in the United Kingdom on 4 March 2021,"Great console, a little on the large side but so glad I managed to get one!"
C. G. Osborne,5.0 out of 5 stars,Best play station ever.,Reviewed in the United Kingdom on 20 November 2020,"Games load much faster, no problems so far, can even use my Astro controller playing ps4 games on it, great console."
aimee haggan,5.0 out of 5 stars,Son loves it,Reviewed in the United Kingdom on 20 April 2021,"Bought for son that seems very pleased with it. easy to set up, better graphics and a lot faster than PS4. Console is very quiet compared to PS4 also"
Gurdeep Singh,5.0 out of 5 stars,Fantastic new generation,Reviewed in the United Kingdom on 23 November 2020,"Fantastic new generation console, very quiet than the previous generation PS4. Beautiful 4K HDR graphics. Smooth high FPS."
li qin chen,5.0 out of 5 stars,Exciting!!!,Reviewed in the United Kingdom on 11 January 2021,Managed to get the ps5 off amazon absolutely amazing I am so happy!!! Thanks amazon 🙄
Weapon,1.0 out of 5 stars,Faulty console after all the trouble,Reviewed in the United Kingdom on 23 April 2021,Doesn't play any PS5 games.Console crashes after 10 seconds of playing anything.Sent back.
anthony m golzey,5.0 out of 5 stars,was happy to get day 1,Reviewed in the United Kingdom on 7 February 2021,great console and glad i managed to get 1 as nightmare to get any for the 4months beeen out games look great even on my 1080p tv getting 4ktv soon as looking for 2.1 hdmi that aint to much
Stuart n,5.0 out of 5 stars,Sony have outdone themselves,Reviewed in the United Kingdom on 10 December 2020,"Sony have done it again, the ssd is amazing and blisteringly fast graphics are gorgeous and the UI is a massive welcomed improvement. Starting parties or voice chat now takes seconds rather than the ps4 waiting for the thing to load etc. Happy I got mine on day 1 and was delivered on stated time and great delivery driver."
thoughtshepherd,5.0 out of 5 stars,EVERYTHING IS AWESOME!,Reviewed in the United Kingdom on 20 November 2020,Absolutely brilliant console! Considerable upgrade from PS4. Graphics are brilliant.
Romille,5.0 out of 5 stars,New controller is really good,Reviewed in the United Kingdom on 3 March 2021,I really enjoy using the new controller and it feels like a massive improvement to last gens controller. I honestly preferred the Xbox controller since I moved from Xbox 360 to PS4 but now Sony definitely caught up. Hopefully more games will support adaptive triggers because it just adds a lot to the experience
Keller,5.0 out of 5 stars,Amazing,Reviewed in the United Kingdom on 21 November 2020,"Such a big jump in generation feels amazing, 60 frames 4k and wow the controller"
DNG,5.0 out of 5 stars,Sony PlayStation PS5,Reviewed in the United Kingdom on 23 March 2021,At last been waiting for months trying to get one for boy treat.
Phil Hodges,5.0 out of 5 stars,Console is great delivery wasn't,Reviewed in the United Kingdom on 23 November 2020,"The console is great - 5 stars.Upon delivery however, the driver almost gave my parcel to a neighbour about 20 doors down because they didn't search for the correct address. The delivery screen showed that the parcel was supposed to be signed and I didn't, so who did? I spent £450 for this service too -  1 star for delivery."
AlexVickers,1.0 out of 5 stars,I GOT SCAMMED!!!,Reviewed in the United Kingdom on 26 March 2021,MASSIVE SCAM!! WONT BE REFUNDED!!
ShoppingAddict,5.0 out of 5 stars,Brilliant,Reviewed in the United Kingdom on 1 December 2020,PlayStation 5! What more to say! I was lucky enough to get it on a release day.
marvin bowers,5.0 out of 5 stars,Love it,Reviewed in the United Kingdom on 2 April 2021,"Love the console, easy setup and transfer from PS4. My favorite feature is the mic in the controller and the button to turn mic on and off easily."
Mr. G. Peters,5.0 out of 5 stars,Amazing!,Reviewed in the United Kingdom on 28 March 2021,Absolutely stunning! Not as big as everyone likes to make out.
Luke G,5.0 out of 5 stars,Thanks Amazon for securing pre-order stock,Reviewed in the United Kingdom on 20 November 2020,"Great buy, arrived via amazon on Launch date with no hiccups, very pleased."
JAMES POWELL,5.0 out of 5 stars,worth it,Reviewed in the United Kingdom on 1 January 2021,"fantastic console and a true upgrade , only bad thing is the controller as great as it is the R2 button is dodgy , not out of the box but after a while , me personally 3 days , Google it"
Dan,5.0 out of 5 stars,Great quality unbelievable performance,Reviewed in the United Kingdom on 21 April 2021,Unbelievable console from build quality to performance
Peter Coldicott,1.0 out of 5 stars,AWFUL CONSOLE AND WORSE CUSTOMER SERVICE,Reviewed in the United Kingdom on 3 May 2021,I have had constant problems with this console and Sony have been the worse company I have ever had to deal with. Faulty console and controller had to be sent back over Christmas which took over a month to sort out. Still doesn’t work properly!
nintendofan,5.0 out of 5 stars,Great.,Reviewed in the United Kingdom on 6 February 2021,Better than xbox mainly because this has gyro controls.
Michael Reid,5.0 out of 5 stars,Awesome,Reviewed in the United Kingdom on 18 March 2021,I'm a PC gamer mainly and haven't owned a console for years but I must say the PS5 is one beast of a machine! Was lucky enough to get one on the last Amazon drop and arrived the next day. Its a massive leap in console technology and its only going to get better over time...
Stephen thomas,5.0 out of 5 stars,Good device,Reviewed in the United Kingdom on 20 November 2020,Had mine yesterday and I can say worth the 450 price tag Sony have done well with this next gen but I’m sorry to see people that won’t one and can’t get because of people selling them for double even triple the price I just hope people can get one for the price it’s worth
Lee,5.0 out of 5 stars,Best console yet again,Reviewed in the United Kingdom on 7 May 2021,Beast of a console in all aspects. Excellent performance and controllers and next level.
Dushi,5.0 out of 5 stars,Worth the Wait 💥💥💥,Reviewed in the United Kingdom on 5 February 2021,It was a mission to get one of these bad boys.I should say i’m very fortunate to quickly add one to basket & get it checked out.Also thanks to Amazon for delivering me a day earlier than expected.
Sophie-Jennifer Buffin,5.0 out of 5 stars,Good console.,Reviewed in the United Kingdom on 21 November 2020,"Made a 27 year old man child happy! A lot bigger than I imagined it to look but overall, brilliant. Keeps him quiet 😉"
Thomas Taylor,4.0 out of 5 stars,Great console,Reviewed in the United Kingdom on 19 March 2021,Love this console! Powerful and sleek looking with probably my favourite controller from all the generations. Would be a 5 star but it still sounds like an aircraft about to take off when the disk whirrs!!
HaydnR,5.0 out of 5 stars,Next Gen!,Reviewed in the United Kingdom on 29 January 2021,"Love the new PlayStation 5, the controller technology puts it leaps and bounds above its predecessor. Amazon were really good at delivery, after hearing people have had them go missing, the delivery was really well done tracked delivery right to the door. When you can get your hands on a ps5...do!"
Marius,5.0 out of 5 stars,Best,Reviewed in the United Kingdom on 13 March 2021,I was waiting months to get it and now I finally can enjoy it. I am really happy with it. It's a very good one probably the best .
Adam A,5.0 out of 5 stars,Amazing,Reviewed in the United Kingdom on 22 March 2021,Amazing console. I love how smooth and fast everything is.
george,5.0 out of 5 stars,Amazing,Reviewed in the United Kingdom on 20 March 2021,"Amazing, i love my ps5 even more than biscuits!"
Bob,5.0 out of 5 stars,PS5 console arrived next day bought from Amazon at RRP,Reviewed in the United Kingdom on 20 November 2020,Highly desirable PS5 for RRP from Amazon arrived the next day. Thanks
Mrs. L. Atchison,5.0 out of 5 stars,PS5 what can I say - very impressive,Reviewed in the United Kingdom on 22 November 2020,Son is over the moon with his purchase.  Great graphics I believe!
Solidsheep,5.0 out of 5 stars,GREAT CONSOLE,Reviewed in the United Kingdom on 21 November 2020,Quick delivery by amazon!The ps5 is the best console sony have made ! The look is sleek and was bigger than expected however i am amazed at home quite it isThe controller is on a whole another level and makes gameplay feel like ur actually in game !!10/10
Marcus,5.0 out of 5 stars,Love it!,Reviewed in the United Kingdom on 20 November 2020,"Love it!Had the PS5 for 2 days now and it’s great, really enjoying Astro, Sackboy, Demons Souls & Spider-Man Miles Morales."
A. R. Wellman,5.0 out of 5 stars,Astounding,Reviewed in the United Kingdom on 19 November 2020,Amazon delivered at 10.15 this morning. So lucky to have got a preorder in early. Comsole isaazing and the new controller even more so. Try Astro's Playroom first up for a gobsmacking demo of the haptic feedback.
J,5.0 out of 5 stars,Me 1 - 0 scalpers,Reviewed in the United Kingdom on 23 February 2021,"Best thing I have ever purchased, worth the battle with scalpers and their bits. Was slightly concerned about the size of the PS5 to begin with but fits into my set up well. Worth every penny. Got to the point where I was considering buying on eBay but in the end it came good. Thanks Amazon"
B,5.0 out of 5 stars,I love the ps5 outstanding,Reviewed in the United Kingdom on 19 February 2021,We are so happy with it it’s an amazing  game
Amazon Customer,5.0 out of 5 stars,The best gaming console the PS5.,Reviewed in the United Kingdom on 21 November 2020,If you are a gamer  then you need one of these 100% recommended.
Kindle Customer,5.0 out of 5 stars,5/5 Sony have done this very well!,Reviewed in the United Kingdom on 18 February 2021,Works beautifully well. Easy to set up and it took me about 3 hours to download all the games I wanted to including Cold War and gtav. The controller fells nice and the supporting features of the controller are amazing. Sony have really outdone themselves with this console.
Trucker Gamer,5.0 out of 5 stars,The superior model from a value perspective,Reviewed in the United Kingdom on 20 November 2020,"Well worth paying the extra for this version over the digital version. As games fall in price, you’ll be able to pick them up far cheaper on Amazon or through similar stores than on the PlayStation store (outside of sales). Don’t sacrifice long-term value for a small short-term saving."
Cressey,5.0 out of 5 stars,Great improvement,Reviewed in the United Kingdom on 23 February 2021,"Very quick, a lot quieter, more space and games look significantly better. Graphic improvement is less evident at 1080p but much clearer at 4k. Controller is way better too!"
Amazon Customer,5.0 out of 5 stars,All great !,Reviewed in the United Kingdom on 21 February 2021,"Took me so many months of endless disappointment to finally get hold of PS5, Thank you Amazon! Its really great so far, nice design, games load faster than on ps4 and so smooth, let's play some more games !"
tyrone knight,5.0 out of 5 stars,Amazing,Reviewed in the United Kingdom on 20 November 2020,"Prefect, placed the order at 1pm 19.11.20 arrived 11.45am 20.11.20  less than w24hours from order. Perfect delivery by DPD. Yes I was lucky to even get it, but at the same time it's good to praise a company who deserves it when it counts"
Ewan M.,5.0 out of 5 stars,Love my PS5 and Amazon delivery was great.,Reviewed in the United Kingdom on 24 November 2020,Does what it's meant to. Was lucky to get it on lauch day. Amazon delivery was great.
Sheriff of Grumptown,5.0 out of 5 stars,Secrets of a quiet life,Reviewed in the United Kingdom on 23 April 2021,"Was a gift, adored by a 40 year old man-child That’s what it’s come to. Apparently is amazing. Keeps them quiet. It is blinking massive though."
Bertie Wilkinson,5.0 out of 5 stars,Simply amazing,Reviewed in the United Kingdom on 11 January 2021,So happy I managed to bag this console and I hope many more people will have the opportunity to do so soon as well!
Amazon Customer,5.0 out of 5 stars,Amazing!,Reviewed in the United Kingdom on 24 April 2021,"Literally amazing. I know right now it's tough to get, but you won't regret the wait at all. it's super immersive, and EXTREMELY QUIET (no more annoying jet ps4 noises!). Would highly recommend waiting for this and getting one."
Stephen,5.0 out of 5 stars,Great bit of kit.,Reviewed in the United Kingdom on 2 April 2021,5 stars because I actually managed to get one.
Lesley Pickard,5.0 out of 5 stars,Finally got one,Reviewed in the United Kingdom on 14 March 2021,Brilliant lot better than expected recommend external hard drive for ps4 games.
Ms. W. Carey,5.0 out of 5 stars,Great it arrived but two boxes were opened which concerned me,Reviewed in the United Kingdom on 20 November 2020,Slight concern that boxes looked opened when they arrived - everything looked to be in there though.
James Livingstone,5.0 out of 5 stars,Amazing console,Reviewed in the United Kingdom on 21 November 2020,"Amazing console and very fast delivery by amazon. To get the most out of the console invest in a 4K TV if you don’t already have one. Major leap forward from the PS4, dual sense controller is awesome!"
G. Frank,5.0 out of 5 stars,Amazing,Reviewed in the United Kingdom on 20 November 2020,"So quick, smooth and fast loading - a gamers must have!"
Brad T,5.0 out of 5 stars,Fast gaming,Reviewed in the United Kingdom on 20 November 2020,Easy and quick set up fantasticA big upgrade for next generation
Amazon Customer,5.0 out of 5 stars,Gtreatenest is here,Reviewed in the United Kingdom on 19 November 2020,"Great new dualsense controler,new super fast UI,true next gen console."
Ross F,5.0 out of 5 stars,Wow,Reviewed in the United Kingdom on 1 January 2021,Fantastic piece of kit. A very happy son at Xmas
Naiha,5.0 out of 5 stars,PS5,Reviewed in the United Kingdom on 21 November 2020,Exactly as described by seller..packaged very well too.
Mr David Stewart,5.0 out of 5 stars,"Fantastic delivery, arrived within 24 hours.",Reviewed in the United Kingdom on 18 March 2021,"I was supplied a password to ensure nobody else could take delivery so it gave added piece of mind.  The console is so good, no wonder they are selling so fast.  Happy hunting everyone, hope you get one soon."
KB,5.0 out of 5 stars,Finally got one,Reviewed in the United Kingdom on 1 April 2021,Received the elusive ps5 console very quick delivery cheers.Update this is the dogs nuts of a console very good graphics quick loading and also a lot quieter than my ps4 even when playing from disc. About time sony got it right
Lucky ਔਜਲਾ,4.0 out of 5 stars,Beauty and the Beast,Reviewed in the United Kingdom on 20 November 2020,It's fast and beautiful to look and play games on.
Battley,5.0 out of 5 stars,Great,Reviewed in the United Kingdom on 6 April 2021,"Love it, very quick and great quality. Fan can be quite loud."
jules long,5.0 out of 5 stars,Fantastic console,Reviewed in the United Kingdom on 24 November 2020,Absolutely amazing the ps5 Thankyou AmazonDelivered on time
laura251,5.0 out of 5 stars,Partner is soo happy with his ps5,Reviewed in the United Kingdom on 9 March 2021,"Absolutely over the moon I managed to get one, thanks to an ps5 tracker app.. Amazon delivered it next day with care"
Hassan,5.0 out of 5 stars,Pretty decent console as consoles go,Reviewed in the United Kingdom on 7 May 2021,Bit spenny but worth it in the long term. If you don't have the kind of money to throw about stick to a PS4 but if you want to upgrade your set up then this is definitely an upgrade
Mark hope,5.0 out of 5 stars,Ps5,Reviewed in the United Kingdom on 31 January 2021,I am very happy with my new ps5
Denzel,5.0 out of 5 stars,Very great product,Reviewed in the United Kingdom on 21 March 2021,I liked the fact that there is fast loading times and that you are able to talk to those on the previous PlayStation because as you may know not much PS5’s are available so some of my friends don’t have it. Overall the item is good plus with the accessories it is great!
Gareth Williams,5.0 out of 5 stars,Great well worth the money,Reviewed in the United Kingdom on 12 January 2021,Was lucky enough to preorder 1 and 2 months on still the best console ever bought well worth the money
sonia,5.0 out of 5 stars,Insane graphics,Reviewed in the United Kingdom on 4 April 2021,Well worth the money- present for my husband and he loves!
Samuel,5.0 out of 5 stars,Amazing product,Reviewed in the United Kingdom on 9 April 2021,AMAZING PRODUCT ! The PS5 is amazing in all areas. I really needed a replacement for my PS4 and this was it. It’s very fast and very quite. Controller feels amazing with its app new features
Dukey,5.0 out of 5 stars,PS5 unbelievable! Best console out,Reviewed in the United Kingdom on 17 February 2021,YES! YES! YES! finally got one ⭐️
Greg250,5.0 out of 5 stars,Flawless,Reviewed in the United Kingdom on 19 April 2021,"Great console, incredible performance, insanely fast load times. The controller is also the best I've ever used."
Mrs. Marion Cooper,5.0 out of 5 stars,Sweet,Reviewed in the United Kingdom on 15 March 2021,Waited long time but 🤪
James shepherd,5.0 out of 5 stars,AMAZING!!!,Reviewed in the United Kingdom on 15 January 2021,Spot on delivery. Great to get one thank you so much
Wingo84,5.0 out of 5 stars,Great console,Reviewed in the United Kingdom on 22 November 2020,Great console just a shame there’s no stock.
liam,5.0 out of 5 stars,U Jelly?,Reviewed in the United Kingdom on 21 November 2020,"Can’t believe I got one, u jelly?"
Amazon Customer,5.0 out of 5 stars,Brilliant,Reviewed in the United Kingdom on 19 March 2021,My son loves this PlayStation
Mark Allen,5.0 out of 5 stars,"Finally, after 6 months I got one",Reviewed in the United Kingdom on 21 March 2021,So far so good. Works like a charm. My brother is over the moon with it
Egehan Ipsir,5.0 out of 5 stars,Incredible,Reviewed in the United Kingdom on 31 March 2021,"I’ve bought one this Tuesday and got a next day delivery with Prime. This console is really amazing, my first day of playing and I’ve discovered so many features that I couldn’t do with my Xbox One and it has amazing graphic quality. I would 100% recommend"
Samuel Hayles,5.0 out of 5 stars,Adaptive Triggers,Reviewed in the United Kingdom on 20 December 2020,"The springs inside the triggers of the controller are very fragile and break after just a few weeks of playing, I think this is mostly down to the adaptive triggers setting and it’s mostly games like Call of Duty that will damage it. Other than that, the console is perfect."
Ender,5.0 out of 5 stars,Good product,Reviewed in the United Kingdom on 6 December 2020,Excellent product came on delivery date but Sony need to address the current  lack of memory expansion option as this issue gives Microsoft the upper hand
Amazon Customer,5.0 out of 5 stars,Fab,Reviewed in the United Kingdom on 14 December 2020,Great - super speedy delivery and all in good condition!
Amazon Customer,5.0 out of 5 stars,Better than anticipated,Reviewed in the United Kingdom on 20 November 2020,"The console works perfectly when paired with a Sony Bravia 4K HDR TV, fantastic feel for the console and controller, very quick downloads and loading times, certainly recommend."
Richard,5.0 out of 5 stars,Next Level,Reviewed in the United Kingdom on 20 November 2020,Stunning! Had been looking forward to the release of the next gen console since its announcement and it hasn’t disappointed.Amazon delivery was brilliant and arrived on launch day amidst the chaos of preorder elsewhere they really delivered 👍🏼Next level gaming 🙏🏼
Den Tuan,5.0 out of 5 stars,So lucky to have one.,Reviewed in the United Kingdom on 21 February 2021,Its a PS5.
Steven,5.0 out of 5 stars,miracle of technology,Reviewed in the United Kingdom on 30 April 2021,amazing graphics almost silent fan due to compression technology hard drive stores  lots of games more than I thought would be possible since some games can take up to 50 GB
Darren Paul Richings,5.0 out of 5 stars,Great gaming for the future and now.,Reviewed in the United Kingdom on 17 February 2021,"At last,finally got my hands on one and it doesn’t disappoint.Early days i know,but this is pretty much my Xmas present.Happy days."
Mark,5.0 out of 5 stars,Great,Reviewed in the United Kingdom on 9 April 2021,Fantastic
vegan/vegetarian female,5.0 out of 5 stars,Worth it,Reviewed in the United Kingdom on 27 November 2020,it was over expensive lol
Amazon Customer,5.0 out of 5 stars,Super fast and quiet,Reviewed in the United Kingdom on 11 January 2021,Cannot believe how quiet it is compared to my PS4 honestly wasn't sure it was on. Loading is really fast now. Very happy.
PJ,5.0 out of 5 stars,"i got the machine,fantastic",Reviewed in the United Kingdom on 6 December 2020,"Impressive console,easy as pie to transfer PS4 data over ,Haptic controller works wonderfully,Demon's Souls is a graphical treat  for the eyes, but most importantly...I actually received the console,and it wasn't stolen or replaced with a George Foreman grill."
Ryan David Tuppen,5.0 out of 5 stars,Next Gen at its best!,Reviewed in the United Kingdom on 21 November 2020,Next generation is here and worth every penny🙌
Natalie Corpe,5.0 out of 5 stars,Brilliant,Reviewed in the United Kingdom on 19 April 2021,Brilliant
GM,5.0 out of 5 stars,Amazing,Reviewed in the United Kingdom on 3 May 2021,Amazing
Akin Sonola,5.0 out of 5 stars,Lives up to the hype,Reviewed in the United Kingdom on 27 December 2020,It actually lives up to the hype. Absolutely love my PS5.
TAN,5.0 out of 5 stars,Good,Reviewed in the United Kingdom on 27 March 2021,Good
JAMES,5.0 out of 5 stars,Everything good here !,Reviewed in the United Kingdom on 2 April 2021,"Lucky to get an order placed in the 5 seconds it was available a month ago, arrived next day, what more can I say, it's a PS5 and is a superb bit of kit, worth the upgrade for sure especially as more games start to arrive in the next few months"
Amazon Customer,5.0 out of 5 stars,Ok,Reviewed in the United Kingdom on 4 March 2021,Ok
leanne doel,5.0 out of 5 stars,Amazing item and delivery.,Reviewed in the United Kingdom on 20 November 2020,"Love my ps5, it's so quiet compared to the jet engine ps4 pro.Preordered it and it came by 11am on release day. Couldnt fault the delivery :D"
Krzysztof,5.0 out of 5 stars,Ok,Reviewed in the United Kingdom on 28 March 2021,Ok
Mate,5.0 out of 5 stars,"If you are into games, should go for it",Reviewed in the United Kingdom on 20 November 2020,As it's been describe: awesome. Came with every necessary accessories:Awesome ControllerUSB Type-C cable to charge the controllerAC cable(~1.5 metres)HDMI(~1 metre)
Tylo Milleni,5.0 out of 5 stars,I love this stupid piece of junk so much,Reviewed in the United Kingdom on 10 December 2020,Okay.1. There are times where the PS5 sounds like it is cutting a lawn for about 10 seconds.2. There are times where you’ll have to reinstall a game because the backwards compatibility is having teething issues.3. I have a PS5 and it’s awesome.
Jonny,5.0 out of 5 stars,"Great, if u can get ur hands on one?",Reviewed in the United Kingdom on 16 April 2021,Amazing!
Axelle C.,5.0 out of 5 stars,PS5,Reviewed in the United Kingdom on 16 February 2021,"it's a PS5, what more to say. LOVE this console."
Ryan,5.0 out of 5 stars,"Great console, lucky to get one!",Reviewed in the United Kingdom on 24 February 2021,"Amazing console, controller is insane! So glad I managed to grab one in all the madness!"
Ben Kaldani,5.0 out of 5 stars,PLAYSTATION 5,Reviewed in the United Kingdom on 19 November 2020,Excellent delivery service by amazon the ps5 is a amazon machine really pleased with it.
Anthony Silvers,5.0 out of 5 stars,Beat all my expectations,Reviewed in the United Kingdom on 19 March 2021,Fantastic
Connor,5.0 out of 5 stars,PS5 IS A BEAST,Reviewed in the United Kingdom on 29 December 2020,10/10 it's one of the best things I've ever bought I'm so happy with it and I've always been a playstation fan and the PS5 is definitely the best one so far. Dirt 5 and Astros playroom is the only games I've played so far and I love them.
david robert henry gibson,5.0 out of 5 stars,Ps5,Reviewed in the United Kingdom on 1 December 2020,So far all good been on 10 days none stop .
George,5.0 out of 5 stars,easy 10/10,Reviewed in the United Kingdom on 25 February 2021,"Absolutely wonderful. 5 Stars. Amazing graphics at 60-120fps with little to no loading time. Dead silent too, much needed from the PS4. Only problem is that the console itself is rather large but shouldn’t be a problem with enough space."
Vanaldo17,5.0 out of 5 stars,PS5 disc,Reviewed in the United Kingdom on 18 March 2021,Amazing stuff!!!Ordered it and it came the next day!!!
Seb,5.0 out of 5 stars,Great Console,Reviewed in the United Kingdom on 25 November 2020,Great new console. Significantly quiter than ps4 and faster in any way.However the new menu is so confusing as you will have to go into 3 menus to quit a game or turn the console off
Abbccc,5.0 out of 5 stars,Brilliant console.,Reviewed in the United Kingdom on 15 February 2021,"Brilliant console, lives up to the hype completely. It's only going to get better as more games release also."
Amazon Customer,1.0 out of 5 stars,Scam,Reviewed in the United Kingdom on 24 April 2021,Scam
James1223,5.0 out of 5 stars,The Next Generation,Reviewed in the United Kingdom on 24 November 2020,"I have owed every PlayStation console since the start and this does not disappoint!It’s fast, it’s powerful and the graphics are stunning!The dual-sense is far better than imagined.A truly great bit of engineering."
Giorgio,3.0 out of 5 stars,Controller issue,Reviewed in the United Kingdom on 2 March 2021,Console arrived without any problem. After some days the PS5 controller start to have little problems with L2 and drifting. Amazon propose me just a return and refund of the product and not a replace of the controller. 4 stars for this
