Name,Rating,Review Title,Review Date,Review Content
Leslie russell,5.0 out of 5 stars,Loading times have gone,Reviewed in the United Kingdom on 22 November 2020,"Managed to order one on release day,arrived the day after,amazing service from amazon.was torn between the ps5 and xbox series x,went for the ps5 due to the games available. The console is very big had to move things around to find it a home.setting it up is so easy, it runs so smooth and fast,the controller is so nice to hold and the feedback is amazing. Loading times have all but disappeared. Its so quite,only hear it when its downloaded from a disc and still pretty quiet.even my son who is a xbox fan really likes it.only down side for me is the size of the hard drive,think two terabyte would of been perfect"
Haasher Monib,5.0 out of 5 stars,Big improvement over ps4,Reviewed in the United Kingdom on 26 February 2021,This is very fast and so quiet. Definitely worth the price. Recommend getting the disk version just so that you have the flexibility of buying games from other sources which can save you money over the long term.One issue though is that the x button after a week kept getting stuck on the rubber pad under it and wasn’t working properly. Sony replaced it though with not too much of an issue but did take a while
Mergen Boldbayar,5.0 out of 5 stars,The contoller is the best thing!,Reviewed in the United Kingdom on 21 November 2020,The console is super quiet and powerful.The controller is something really extraordinary!Recommendation when you receive your console: Set up your console and start downloading games and during that time you can enjoy ASTRO's Playroom. It will illustrate everything about this new console so please do not ignore it!Haven't experienced any issues that are happening to other players.The only downside is its size because it is gonna be difficult to carry it to my friends' house or cousins' xDHave fun guys!
Pete newman,5.0 out of 5 stars,Mind Blown,Reviewed in the United Kingdom on 25 February 2021,"Firstly, big shout to Amazon, I thought I’d missed out on last week’s drop only to get an email Saturday saying fulfilled and arriving the Sunday... Perfick!Now, I’ve played PlayStation since the ps1 and this piece of kit is the biggest jump in tech in my eyes. Say goodbye to download or update times.. 40Gb in 10 mins. Those who game will understand.Picture quality, gameplay, sound etc is all so much improved. My advice get yourself a pulse headset too cracking piece of kit and lastly the controller is truly awesome too. Enjoy peeps."
Dave,5.0 out of 5 stars,Awesome,Reviewed in the United Kingdom on 18 March 2021,"Really good console, fast loading and reliable. Only had one bug on the fifa 21 game out of all the games I’ve played. Graphics look great, best having the disc version so you can play ps4 games cheaply."
Manas Bajaj,5.0 out of 5 stars,Truly a next gen console,Reviewed in the United Kingdom on 20 November 2020,"Just got mine delivered within 24h of buying on launch day! Have been loving it so far, the truly 'next gen' aspect for me is the 60+ fps gameplay even on 4k resolution!"
Jonathan Craigmile,5.0 out of 5 stars,What a step forward!,Reviewed in the United Kingdom on 20 November 2020,This is a huge step up over my PS4 pro. Not just the graphics and frame rates but also the load times. I saw a lot of reviews talking about the load times before I bought it but seeing is believing! Lots of people have been talking about the size (and it is huge) but it fits nicely in my TV stand (picture included)I was lucky enough to get it from Amazon at RRP on the 19th and I wouldn't pay a scalper but at £450 I would recommend it as it is cheaper and more available than the new RTX 3000 series and the Radeon 6800 series.
Aiden Hardy,5.0 out of 5 stars,Stunning Speed,Reviewed in the United Kingdom on 28 January 2021,Truly amazing. You can really tell how fast this is switching from game to game. It’s instant. No delay or lag. Couldn’t ask for a better system. Controller feels a little heavier than the PS4 controller but don’t let that put you off. The haptic feedback in the triggers are amazing. Playing call of duty the feedback on the triggers immerses you into the game so much. If you get the Pulse 3D headset too then that makes the most of the 3D sounds. Using the headset on PS4 doesn’t have the same effect. Get this console!
Osman Shabir,5.0 out of 5 stars,Incredible!,Reviewed in the United Kingdom on 31 January 2021,"Worth all the hype and wait (after many many attempts to buy). Graphics are insanely incredible especially Miles Morales - which is a beauty to play and watch. Load times are super quick, and I've had no crashes so far. The dual-sense controller is superb and feels good to hold. Have had no issues or errors with loading, downloading or playing other media. Definitely worth the money. Very pleased with it so far, and the fact that you can play almost all PS4 games on it too."
Grandad G,5.0 out of 5 stars,Don’t give up!!! It a brilliant console.,Reviewed in the United Kingdom on 17 February 2021,"Nice console, quality build!  But really hard to get your hands on one! I was lucky timed it right! Bought it then stock alert email came in 2 minutes later. But stock went in seconds! Good luck to those still waiting!!!"
